source_concept,target_concept,relation,reason
算法与数据结构关系,抽象数据类型ADT,先修,学习抽象数据类型ADT前应先掌握算法与数据结构关系。
时间复杂度,排序复杂度比较,先修,学习排序复杂度比较前应先掌握时间复杂度。
渐进记号,时间复杂度,先修,学习时间复杂度前应先掌握渐进记号。
单链表,双向链表,先修,学习双向链表前应先掌握单链表。
单链表,循环链表,先修,学习循环链表前应先掌握单链表。
栈,表达式求值,先修,学习表达式求值前应先掌握栈。
栈,括号匹配,先修,学习括号匹配前应先掌握栈。
队列,循环队列,先修,学习循环队列前应先掌握队列。
队列,BFS,先修,学习BFS前应先掌握队列。
串,朴素模式匹配,先修,学习朴素模式匹配前应先掌握串。
朴素模式匹配,KMP算法,先修,学习KMP算法前应先掌握朴素模式匹配。
KMP算法,next数组,先修,学习next数组前应先掌握KMP算法。
树,二叉树,先修,学习二叉树前应先掌握树。
二叉树,二叉树性质,先修,学习二叉树性质前应先掌握二叉树。
二叉树,先序遍历,先修,学习先序遍历前应先掌握二叉树。
二叉树,中序遍历,先修,学习中序遍历前应先掌握二叉树。
二叉树,后序遍历,先修,学习后序遍历前应先掌握二叉树。
二叉树,层序遍历,先修,学习层序遍历前应先掌握二叉树。
二叉树,哈夫曼树,先修,学习哈夫曼树前应先掌握二叉树。
哈夫曼树,哈夫曼编码,先修,学习哈夫曼编码前应先掌握哈夫曼树。
树,树森林二叉树转换,先修,学习树森林二叉树转换前应先掌握树。
树,并查集,先修,学习并查集前应先掌握树。
图的基本概念,邻接矩阵,先修,学习邻接矩阵前应先掌握图的基本概念。
图的基本概念,邻接表,先修,学习邻接表前应先掌握图的基本概念。
邻接表,DFS,先修,学习DFS前应先掌握邻接表。
邻接表,BFS,先修,学习BFS前应先掌握邻接表。
DFS,拓扑排序,先修,学习拓扑排序前应先掌握DFS。
拓扑排序,关键路径,先修,学习关键路径前应先掌握拓扑排序。
并查集,Kruskal算法,先修,学习Kruskal算法前应先掌握并查集。
最小生成树,Prim算法,先修,学习Prim算法前应先掌握最小生成树。
最小生成树,Kruskal算法,先修,学习Kruskal算法前应先掌握最小生成树。
图的基本概念,单源最短路径,先修,学习单源最短路径前应先掌握图的基本概念。
单源最短路径,Dijkstra算法,先修,学习Dijkstra算法前应先掌握单源最短路径。
单源最短路径,Bellman-Ford算法,先修,学习Bellman-Ford算法前应先掌握单源最短路径。
多源最短路径,Floyd算法,先修,学习Floyd算法前应先掌握多源最短路径。
顺序查找,折半查找,先修,学习折半查找前应先掌握顺序查找。
折半查找,二叉排序树,先修,学习二叉排序树前应先掌握折半查找。
二叉排序树,平衡二叉树AVL,先修,学习平衡二叉树AVL前应先掌握二叉排序树。
平衡二叉树AVL,红黑树基础,先修,学习红黑树基础前应先掌握平衡二叉树AVL。
二叉排序树,B树,先修,学习B树前应先掌握二叉排序树。
B树,B+树,先修,学习B+树前应先掌握B树。
散列表,哈希函数,先修,学习哈希函数前应先掌握散列表。
哈希函数,冲突处理,先修,学习冲突处理前应先掌握哈希函数。
散列表,装填因子,先修,学习装填因子前应先掌握散列表。
插入排序,希尔排序,先修,学习希尔排序前应先掌握插入排序。
冒泡排序,快速排序,先修,学习快速排序前应先掌握冒泡排序。
简单选择排序,堆排序,先修,学习堆排序前应先掌握简单选择排序。
二叉树,堆,先修,学习堆前应先掌握二叉树。
堆,优先队列,先修,学习优先队列前应先掌握堆。
堆,堆排序,先修,学习堆排序前应先掌握堆。
归并排序,外部排序,先修,学习外部排序前应先掌握归并排序。
树,Trie树,先修,学习Trie树前应先掌握树。
数组存储,线段树,先修,学习线段树前应先掌握数组存储。
数组存储,树状数组,先修,学习树状数组前应先掌握数组存储。
双向链表,LRU缓存,先修,学习LRU缓存前应先掌握双向链表。
散列表,LRU缓存,先修,学习LRU缓存前应先掌握散列表。
哈希函数,布隆过滤器,先修,学习布隆过滤器前应先掌握哈希函数。
Trie树,倒排索引,先修,学习倒排索引前应先掌握Trie树。
